"de","en"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"User Options__In-App settings","User Options__In-App settings"
"User Options__Data protection settings","User Options__Data protection settings"
"User Options__Records about the acceptance of our conditions","User Options__Records about the acceptance of our conditions"
"Authentication information__Authentication Codes","Authentication information__Authentication Codes"
"Authentication information__public encryption key","Authentication information__public encryption key"
"Information provided by others about you__Information provided by others about you","Information provided by others about you__Information provided by others about you"
"Messages from users__Messages from users","Messages from users__Messages from users"
"Company on WhatsApp__Company on WhatsApp","Company on WhatsApp__Company on WhatsApp"
"Dienste Dritter__Dienste Dritter","Services of third parties__Services of third parties"
